"pernr","job_code","prior_job_code","job_change_date"
123103,16100019,16100019,"06/18/2017"
628829,16100020,16100020,"06/18/2017"
757974,16100019,16100019,"06/18/2017"
489609,16000029,16000029,"06/25/2017"
579838,16000025,16000025,"06/25/2017"
730036,24601103,16000025,"06/01/2017"
707875,24601103,16200013,"06/16/2017"
731451,16200013,16200013,"06/04/2017"
611719,30391605,16000004,"06/01/2017"
735439,16200013,16200013,"06/18/2017"
678324,16300008,16300008,"06/04/2017"
679804,24601103,16100019,"06/01/2017"
485869,16000004,16000003,"06/11/2017"
711810,24601103,16000025,"06/16/2017"
556482,16100020,16100019,"06/18/2017"
756704,16000025,16000025,"06/11/2017"
758390,16100019,16100019,"06/18/2017"
724025,16000025,16000025,"06/25/2017"
691313,24501151,16000025,"06/01/2017"
757453,16000025,16000025,"06/25/2017"
719019,16200013,16200013,"06/04/2017"
709840,16000025,16000025,"06/11/2017"
734476,16200013,16200013,"06/18/2017"
757411,16000025,16000025,"06/25/2017"
656198,16000025,16000025,"06/25/2017"
707465,24601103,16000025,"06/01/2017"
454869,16100002,16100033,"06/18/2017"
752624,16200013,16200013,"06/04/2017"
728535,16000025,16000025,"06/11/2017"
